Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2020-01-22,169.0544916457,167.3736339618,169.9529092157,164.1286409364
ETH,2020-01-23,167.1518344609,169.0544205089,171.1612131665,165.682081616
ETH,2020-01-24,162.6714166963,167.1518145691,167.82455463,158.8187964204
ETH,2020-01-25,162.8065223703,162.3679148834,164.2163653709,155.2544170724
ETH,2020-01-26,160.9178681144,162.8065025247,163.7269775155,157.3198028334
ETH,2020-01-27,166.7218659174,160.9179031781,167.5504987233,159.1773128596
ETH,2020-01-28,169.8001125623,166.722803283,171.7815362964,164.9161588519
ETH,2020-01-29,173.5481484134,169.8014550205,174.2348638152,169.5018639747
ETH,2020-01-30,175.4603220555,173.5175971105,178.2467886942,173.0267158889
ETH,2020-01-31,186.2620413732,173.5603847394,186.3123395629,170.5479945252
ETH,2020-02-01,181.7284342096,186.3285604061,186.6111016251,175.0291984558
ETH,2020-02-02,182.7739888825,181.7283382141,184.0332784934,179.0145943471
ETH,2020-02-03,189.3125531442,183.4823208273,193.2911003528,178.9859951724
ETH,2020-02-04,189.2575928573,189.3134156538,195.0897200057,186.5603487449
ETH,2020-02-05,188.6750821693,189.6130188487,191.3409660497,184.3270487816
ETH,2020-02-06,204.5305348023,188.6684408803,207.4707775555,187.6323374327
ETH,2020-02-07,211.2924866236,203.5375203255,216.13139851,201.0790494251
ETH,2020-02-08,221.8331393853,211.2919392725,224.4646952586,210.8638616787
ETH,2020-02-09,224.0294271926,221.8323626041,227.6191841955,213.2555275609
ETH,2020-02-10,228.0443089591,223.318134481,230.8103671753,223.1313498232
ETH,2020-02-11,223.3196378015,228.0450893991,229.5480392672,216.4743144543
ETH,2020-02-12,237.8783454792,222.9542937233,239.6841923403,218.1670883963
ETH,2020-02-13,268.3962677099,237.886199322,275.4723672202,236.4062898677
ETH,2020-02-14,266.251814938,268.3807600766,277.9827304635,255.740906833
ETH,2020-02-15,284.0004908975,268.580604928,285.4471774351,260.3258231085
ETH,2020-02-16,267.3531862573,283.9993077954,289.0017948137,261.3504166183
ETH,2020-02-17,255.3551842166,267.3499373926,273.9227613962,234.4556604486
ETH,2020-02-18,261.1372306808,259.3453376205,263.2025109357,242.5995295198
ETH,2020-02-19,281.3812072446,261.1376117575,286.3718583351,259.5321879605
ETH,2020-02-20,265.1448245328,281.4042932001,286.7519742209,251.6772124517
ETH,2020-02-21,259.714134462,258.8474449136,264.2184464238,246.1780144603
ETH,2020-02-22,263.9493850062,259.7110003601,268.6092345691,254.0968941632
